round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
1,29, 509, 943, 5028, 0.05697445972495088,0.09484052658081055,0.0014035701751708984
2,35, 509, 994, 5028, 0.068762278978389,0.0999760627746582,0.0014526844024658203
3,30, 509, 944, 5028, 0.05893909626719057,0.09937238693237305,0.0014252662658691406
4,34, 509, 973, 5028, 0.06679764243614932,0.09934592247009277,0.0014374256134033203
5,32, 509, 983, 5028, 0.06286836935166994,0.10168027877807617,0.0014431476593017578
6,35, 509, 988, 5028, 0.068762278978389,0.10069489479064941,0.0015234947204589844
7,36, 509, 1010, 5028, 0.07072691552062868,0.10130834579467773,0.0015854835510253906
8,29, 509, 951, 5028, 0.05697445972495088,0.10137367248535156,0.0015158653259277344
9,34, 509, 962, 5028, 0.06679764243614932,0.09923171997070312,0.0014448165893554688
10,32, 509, 975, 5028, 0.06286836935166994,0.09882164001464844,0.0014438629150390625
11,32, 509, 948, 5028, 0.06286836935166994,0.09905433654785156,0.001453399658203125
12,30, 509, 951, 5028, 0.05893909626719057,0.0983586311340332,0.0014624595642089844
13,37, 509, 993, 5028, 0.07269155206286837,0.09844422340393066,0.0014600753784179688
14,31, 509, 963, 5028, 0.060903732809430254,0.09827804565429688,0.0014569759368896484
15,35, 509, 1002, 5028, 0.068762278978389,0.09918665885925293,0.0014617443084716797
16,31, 509, 960, 5028, 0.060903732809430254,0.09853601455688477,0.0014617443084716797
17,31, 509, 974, 5028, 0.060903732809430254,0.09872817993164062,0.0014536380767822266
18,33, 509, 982, 5028, 0.06483300589390963,0.0999913215637207,0.0014483928680419922
19,35, 509, 1006, 5028, 0.068762278978389,0.09948134422302246,0.0014615058898925781
20,26, 509, 922, 5028, 0.05108055009823183,0.09897589683532715,0.0014955997467041016
21,35, 509, 997, 5028, 0.068762278978389,0.10339641571044922,0.0014863014221191406
22,34, 509, 979, 5028, 0.06679764243614932,0.0992896556854248,0.0014567375183105469
23,32, 509, 981, 5028, 0.06286836935166994,0.09916496276855469,0.0014564990997314453
24,33, 509, 967, 5028, 0.06483300589390963,0.097900390625,0.0014424324035644531
25,
