round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
1,41, 505, 1046, 4761, 0.08118811881188119,0.0985419750213623,0.0013859272003173828
2,37, 505, 1021, 4761, 0.07326732673267326,0.10174059867858887,0.0014309883117675781
3,35, 505, 990, 4761, 0.06930693069306931,0.10184645652770996,0.0016455650329589844
4,39, 505, 1009, 4761, 0.07722772277227723,0.10111641883850098,0.0013964176177978516
5,32, 505, 953, 4761, 0.06336633663366337,0.10164976119995117,0.0013935565948486328
6,43, 505, 1059, 4761, 0.08514851485148515,0.10251688957214355,0.0014216899871826172
7,38, 505, 1006, 4761, 0.07524752475247524,0.10148906707763672,0.001409292221069336
8,39, 505, 1022, 4761, 0.07722772277227723,0.10190844535827637,0.0017867088317871094
9,37, 505, 1008, 4761, 0.07326732673267326,0.10283041000366211,0.0014243125915527344
10,37, 505, 1000, 4761, 0.07326732673267326,0.10127997398376465,0.0014147758483886719
11,39, 505, 1000, 4761, 0.07722772277227723,0.10219001770019531,0.0014295578002929688
12,35, 505, 977, 4761, 0.06930693069306931,0.1008296012878418,0.0014190673828125
13,34, 505, 986, 4761, 0.06732673267326733,0.10060238838195801,0.001453399658203125
14,40, 505, 1012, 4761, 0.07920792079207921,0.10248017311096191,0.0014355182647705078
15,36, 505, 984, 4761, 0.07128712871287128,0.1016390323638916,0.0014171600341796875
16,34, 505, 977, 4761, 0.06732673267326733,0.10077786445617676,0.0014193058013916016
17,36, 505, 989, 4761, 0.07128712871287128,0.10089945793151855,0.0014154911041259766
18,35, 505, 974, 4761, 0.06930693069306931,0.10121798515319824,0.0014138221740722656
19,41, 505, 1027, 4761, 0.08118811881188119,0.10054540634155273,0.001430511474609375
20,36, 505, 981, 4761, 0.07128712871287128,0.10025191307067871,0.0017936229705810547
21,34, 505, 967, 4761, 0.06732673267326733,0.10657453536987305,0.0014934539794921875
22,38, 505, 968, 4761, 0.07524752475247524,0.1050724983215332,0.0014197826385498047
23,38, 505, 1034, 4761, 0.07524752475247524,0.10214996337890625,0.0014653205871582031
24,36, 505, 979, 4761, 0.07128712871287128,0.10158610343933105,0.001436471939086914
25,35, 505, 985, 4761, 0.06930693069306931,0.10151505470275879,0.0014348030090332031
26,38, 505, 1008, 4761, 0.07524752475247524,0.10213184356689453,0.0014324188232421875
27,37, 505, 988, 4761, 0.07326732673267326,0.10155892372131348,0.0014235973358154297
28,39, 505, 1025, 4761, 0.07722772277227723,0.10074138641357422,0.0017848014831542969
29,38, 505, 1020, 4761, 0.07524752475247524,0.10052943229675293,0.001428365707397461
30,39, 505, 995, 4761, 0.07722772277227723,0.11060523986816406,0.0014503002166748047
31,35, 505, 980, 4761, 0.06930693069306931,0.10981297492980957,0.0014224052429199219
32,41, 505, 1051, 4761, 0.08118811881188119,0.1052846908569336,0.0016660690307617188
33,40, 505, 1029, 4761, 0.07920792079207921,0.10571694374084473,0.0014717578887939453
34,34, 505, 976, 4761, 0.06732673267326733,0.10405254364013672,0.0014183521270751953
35,38, 505, 1022, 4761, 0.07524752475247524,0.10179638862609863,0.0014719963073730469
36,36, 505, 988, 4761, 0.07128712871287128,0.10156846046447754,0.0014319419860839844
37,36, 505, 987, 4761, 0.07128712871287128,0.10074067115783691,0.0014219284057617188
38,41, 505, 1030, 4761, 0.08118811881188119,0.10063672065734863,0.0014309883117675781
39,36, 505, 1001, 4761, 0.07128712871287128,0.10134577751159668,0.0014102458953857422
40,36, 505, 977, 4761, 0.07128712871287128,0.10211682319641113,0.0014133453369140625
41,38, 505, 1004, 4761, 0.07524752475247524,0.10128307342529297,0.0014810562133789062
42,39, 505, 1025, 4761, 0.07722772277227723,0.10449099540710449,0.001447439193725586
43,33, 505, 977, 4761, 0.06534653465346535,0.10299301147460938,0.0014150142669677734
44,35, 505, 980, 4761, 0.06930693069306931,0.10124969482421875,0.0014297962188720703
45,35, 505, 987, 4761, 0.06930693069306931,0.10112214088439941,0.0014269351959228516
46,40, 505, 1002, 4761, 0.07920792079207921,0.10136795043945312,0.001766204833984375
47,37, 505, 981, 4761, 0.07326732673267326,0.10260701179504395,0.0014302730560302734
48,36, 505, 1000, 4761, 0.07128712871287128,0.10001277923583984,0.0014460086822509766
49,40, 505, 1027, 4761, 0.07920792079207921,0.10119295120239258,0.001421213150024414
50,37, 505, 995, 4761, 0.07326732673267326,0.10249590873718262,0.0014185905456542969
51,35, 505, 960, 4761, 0.06930693069306931,0.10176253318786621,0.0016465187072753906
52,35, 505, 1013, 4761, 0.06930693069306931,0.10172271728515625,0.00145721435546875
53,33, 505, 946, 4761, 0.06534653465346535,0.10219168663024902,0.0014235973358154297
54,32, 505, 962, 4761, 0.06336633663366337,0.10139799118041992,0.0014274120330810547
55,36, 505, 993, 4761, 0.07128712871287128,0.10312843322753906,0.0014109611511230469
56,39, 505, 1013, 4761, 0.07722772277227723,0.10066890716552734,0.001439809799194336
57,38, 505, 1013, 4761, 0.07524752475247524,0.10257411003112793,0.0014126300811767578
58,36, 505, 987, 4761, 0.07128712871287128,0.09998250007629395,0.0014107227325439453
59,33, 505, 960, 4761, 0.06534653465346535,0.1021718978881836,0.0014126300811767578
60,42, 505, 1026, 4761, 0.08316831683168317,0.10013055801391602,0.0014102458953857422
61,39, 505, 1012, 4761, 0.07722772277227723,0.10238051414489746,0.0014162063598632812
62,34, 505, 961, 4761, 0.06732673267326733,0.10254359245300293,0.0014386177062988281
63,35, 505, 979, 4761, 0.06930693069306931,0.10587620735168457,0.0014841556549072266
64,34, 505, 986, 4761, 0.06732673267326733,0.09945797920227051,0.0014531612396240234
65,38, 505, 999, 4761, 0.07524752475247524,0.0998985767364502,0.0014483928680419922
66,38, 505, 1016, 4761, 0.07524752475247524,0.09964275360107422,0.001432180404663086
67,36, 505, 1024, 4761, 0.07128712871287128,0.09958672523498535,0.0014293193817138672
68,33, 505, 957, 4761, 0.06534653465346535,0.09903669357299805,0.0014204978942871094
69,36, 505, 1011, 4761, 0.07128712871287128,0.09862351417541504,0.0014269351959228516
70,33, 505, 956, 4761, 0.06534653465346535,0.09942936897277832,0.0014405250549316406
71,34, 505, 987, 4761, 0.06732673267326733,0.09961175918579102,0.0014350414276123047
72,35, 505, 991, 4761, 0.06930693069306931,0.09932589530944824,0.0014209747314453125
73,40, 505, 1026, 4761, 0.07920792079207921,0.09896278381347656,0.00142669677734375
74,36, 505, 975, 4761, 0.07128712871287128,0.09852957725524902,0.0014426708221435547
75,34, 505, 979, 4761, 0.06732673267326733,0.09912681579589844,0.0014071464538574219
76,37, 505, 1016, 4761, 0.07326732673267326,0.09868025779724121,0.0014162063598632812
77,37, 505, 1009, 4761, 0.07326732673267326,0.09839868545532227,0.0014224052429199219
78,35, 505, 965, 4761, 0.06930693069306931,0.1032400131225586,0.0015213489532470703
79,38, 505, 999, 4761, 0.07524752475247524,0.10381460189819336,0.0014166831970214844
80,40, 505, 1019, 4761, 0.07920792079207921,0.09990501403808594,0.0014157295227050781
81,41, 505, 1026, 4761, 0.08118811881188119,0.10060763359069824,0.001425027847290039
82,36, 505, 987, 4761, 0.07128712871287128,0.1026296615600586,0.0014488697052001953
83,33, 505, 967, 4761, 0.06534653465346535,0.10077786445617676,0.0014162063598632812
84,36, 505, 983, 4761, 0.07128712871287128,0.09948229789733887,0.0014264583587646484
85,33, 505, 962, 4761, 0.06534653465346535,0.10003018379211426,0.0014324188232421875
86,39, 505, 1020, 4761, 0.07722772277227723,0.0989997386932373,0.0014154911041259766
87,36, 505, 978, 4761, 0.07128712871287128,0.0994575023651123,0.0014338493347167969
88,36, 505, 1021, 4761, 0.07128712871287128,0.09867048263549805,0.0014269351959228516
89,37, 505, 995, 4761, 0.07326732673267326,0.09935140609741211,0.0014224052429199219
90,38, 505, 1003, 4761, 0.07524752475247524,0.09859895706176758,0.0014345645904541016
91,39, 505, 1012, 4761, 0.07722772277227723,0.0997323989868164,0.0014524459838867188
92,36, 505, 998, 4761, 0.07128712871287128,0.09922099113464355,0.001413106918334961
93,40, 505, 1011, 4761, 0.07920792079207921,0.09904980659484863,0.0014083385467529297
94,31, 505, 948, 4761, 0.061386138613861385,0.09825706481933594,0.001405954360961914
95,33, 505, 956, 4761, 0.06534653465346535,0.0991661548614502,0.0014026165008544922
96,39, 505, 1026, 4761, 0.07722772277227723,0.09813380241394043,0.0014100074768066406
97,34, 505, 971, 4761, 0.06732673267326733,0.09882378578186035,0.0014324188232421875
98,33, 505, 960, 4761, 0.06534653465346535,0.09910035133361816,0.0014376640319824219
99,38, 505, 1021, 4761, 0.07524752475247524,0.09919333457946777,0.0014269351959228516
100,40, 505, 1017, 4761, 0.07920792079207921,0.09784531593322754,0.0014309883117675781
