round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
32,18,168,985,4583,0.10714285714285714,0.10002923011779785,0.0011713504791259766
33,17,168,1009,4583,0.10119047619047619,0.09976887702941895,0.0011680126190185547
34,16,168,1014,4583,0.09523809523809523,0.09980583190917969,0.0011556148529052734
35,16,168,982,4583,0.09523809523809523,0.09860396385192871,0.0011403560638427734
36,15,168,969,4583,0.08928571428571429,0.09891414642333984,0.0011398792266845703
37,15,168,950,4583,0.08928571428571429,0.09881830215454102,0.0011439323425292969
38,19,168,1062,4583,0.1130952380952381,0.0995028018951416,0.0011577606201171875
39,16,168,964,4583,0.09523809523809523,0.09819602966308594,0.0011639595031738281
40,16,168,978,4583,0.09523809523809523,0.10374712944030762,0.0012543201446533203
41,17,168,1053,4583,0.10119047619047619,0.10567021369934082,0.0012073516845703125
42,16,168,974,4583,0.09523809523809523,0.1019144058227539,0.0011751651763916016
43,16,168,995,4583,0.09523809523809523,0.10169219970703125,0.001194000244140625
44,15,168,964,4583,0.08928571428571429,0.09961342811584473,0.0011794567108154297
45,15,168,969,4583,0.08928571428571429,0.10368132591247559,0.0012362003326416016
46,17,168,1010,4583,0.10119047619047619,0.10199141502380371,0.0011658668518066406
47,16,168,976,4583,0.09523809523809523,0.10302734375,0.0012125968933105469
48,16,168,1012,4583,0.09523809523809523,0.10294699668884277,0.0011742115020751953
49,15,168,924,4583,0.08928571428571429,0.1003260612487793,0.0011556148529052734
50,15,168,963,4583,0.08928571428571429,0.09931135177612305,0.001157999038696289
51,19,168,1061,4583,0.1130952380952381,0.0984349250793457,0.0011637210845947266
52,15,168,969,4583,0.08928571428571429,0.09918808937072754,0.0011584758758544922
53,19,168,1099,4583,0.1130952380952381,0.09919571876525879,0.0011637210845947266
54,17,168,998,4583,0.10119047619047619,0.09923934936523438,0.0011584758758544922
55,18,168,1018,4583,0.10714285714285714,0.09827613830566406,0.001171112060546875
56,16,168,975,4583,0.09523809523809523,0.10039973258972168,0.0011589527130126953
57,20,168,1100,4583,0.11904761904761904,0.09894490242004395,0.0011670589447021484
58,16,168,993,4583,0.09523809523809523,0.09956049919128418,0.0011622905731201172
59,17,168,1020,4583,0.10119047619047619,0.09850263595581055,0.0011434555053710938
60,15,168,948,4583,0.08928571428571429,0.09862828254699707,0.0011548995971679688
61,17,168,1009,4583,0.10119047619047619,0.098785400390625,0.0012102127075195312
62,16,168,978,4583,0.09523809523809523,0.1146688461303711,0.0011868476867675781
63,15,168,963,4583,0.08928571428571429,0.10323023796081543,0.0011746883392333984
64,19,168,1003,4583,0.1130952380952381,0.10168886184692383,0.0011706352233886719
65,16,168,978,4583,0.09523809523809523,0.09961819648742676,0.0011615753173828125
66,17,168,1023,4583,0.10119047619047619,0.09986710548400879,0.0011599063873291016
67,16,168,960,4583,0.09523809523809523,0.09892630577087402,0.0011644363403320312
68,17,168,1020,4583,0.10119047619047619,0.09921813011169434,0.0011525154113769531
69,14,168,920,4583,0.08333333333333333,0.09910035133361816,0.0011637210845947266
70,15,168,933,4583,0.08928571428571429,0.0997321605682373,0.0011708736419677734
71,15,168,950,4583,0.08928571428571429,0.0988318920135498,0.0011670589447021484
72,17,168,982,4583,0.10119047619047619,0.10068917274475098,0.0011756420135498047
73,15,168,969,4583,0.08928571428571429,0.09970521926879883,0.0011632442474365234
74,15,168,969,4583,0.08928571428571429,0.09989786148071289,0.001178741455078125
75,14,168,920,4583,0.08333333333333333,0.09921622276306152,0.0011627674102783203
76,14,168,920,4583,0.08333333333333333,0.09978032112121582,0.0011479854583740234
77,17,168,993,4583,0.10119047619047619,0.10008645057678223,0.001169443130493164
78,17,168,1031,4583,0.10119047619047619,0.10065245628356934,0.001173257827758789
