round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
1,47, 750, 1079, 4901, 0.06266666666666666,0.09478759765625,0.0015444755554199219
2,48, 750, 1084, 4901, 0.064,0.10171723365783691,0.0016164779663085938
3,41, 750, 1030, 4901, 0.05466666666666667,0.10641193389892578,0.00170135498046875
4,42, 750, 1049, 4901, 0.056,0.11049389839172363,0.0016720294952392578
5,54, 750, 1093, 4901, 0.072,0.10820651054382324,0.0017464160919189453
6,44, 750, 1071, 4901, 0.058666666666666666,0.10852885246276855,0.0016345977783203125
7,38, 750, 1020, 4901, 0.050666666666666665,0.10382747650146484,0.0016298294067382812
8,44, 750, 1063, 4901, 0.058666666666666666,0.09817671775817871,0.001649618148803711
9,41, 750, 1047, 4901, 0.05466666666666667,0.09976029396057129,0.0016608238220214844
10,43, 750, 1043, 4901, 0.05733333333333333,0.09924197196960449,0.0016450881958007812
11,46, 750, 1065, 4901, 0.06133333333333333,0.09983611106872559,0.0016388893127441406
12,48, 750, 1071, 4901, 0.064,0.0988912582397461,0.0016298294067382812
13,42, 750, 1057, 4901, 0.056,0.09945201873779297,0.001623392105102539
14,48, 750, 1090, 4901, 0.064,0.09905314445495605,0.0016312599182128906
15,42, 750, 1063, 4901, 0.056,0.09911108016967773,0.0016138553619384766
16,47, 750, 1063, 4901, 0.06266666666666666,0.09898090362548828,0.0016384124755859375
17,41, 750, 1051, 4901, 0.05466666666666667,0.10019969940185547,0.001636505126953125
18,47, 750, 1093, 4901, 0.06266666666666666,0.09886837005615234,0.0016355514526367188
19,43, 750, 1052, 4901, 0.05733333333333333,0.09961223602294922,0.001644134521484375
20,45, 750, 1075, 4901, 0.06,0.10214400291442871,0.001676321029663086
21,45, 750, 1064, 4901, 0.06,0.09997320175170898,0.001664876937866211
22,46, 750, 1066, 4901, 0.06133333333333333,0.09944391250610352,0.001657247543334961
23,43, 750, 1019, 4901, 0.05733333333333333,0.10025501251220703,0.0016586780548095703
24,42, 750, 1058, 4901, 0.056,0.09923315048217773,0.0016503334045410156
25,42, 750, 1050, 4901, 0.056,0.09915971755981445,0.0016362667083740234
26,44, 750, 1056, 4901, 0.058666666666666666,0.10003232955932617,0.0016508102416992188
27,41, 750, 1043, 4901, 0.05466666666666667,0.1009378433227539,0.0016627311706542969
28,43, 750, 1051, 4901, 0.05733333333333333,0.09930896759033203,0.001642465591430664
29,41, 750, 1055, 4901, 0.05466666666666667,0.09979891777038574,0.0016367435455322266
30,43, 750, 1046, 4901, 0.05733333333333333,0.1007232666015625,0.0016779899597167969
31,45, 750, 1066, 4901, 0.06,0.10158395767211914,0.0016684532165527344
32,46, 750, 1075, 4901, 0.06133333333333333,0.10027694702148438,0.001649618148803711
33,52, 750, 1104, 4901, 0.06933333333333333,0.10343074798583984,0.0016651153564453125
34,51, 750, 1087, 4901, 0.068,0.10093522071838379,0.0016453266143798828
35,42, 750, 1040, 4901, 0.056,0.1010446548461914,0.0016455650329589844
36,44, 750, 1058, 4901, 0.058666666666666666,0.1031181812286377,0.0016429424285888672
37,43, 750, 1032, 4901, 0.05733333333333333,0.10081243515014648,0.0016396045684814453
38,48, 750, 1084, 4901, 0.064,0.10283374786376953,0.0016508102416992188
39,46, 750, 1079, 4901, 0.06133333333333333,0.10068273544311523,0.00164031982421875
40,46, 750, 1065, 4901, 0.06133333333333333,0.09968090057373047,0.0016393661499023438
41,42, 750, 1030, 4901, 0.056,0.09992837905883789,0.00164794921875
42,41, 750, 1019, 4901, 0.05466666666666667,0.10245418548583984,0.0016605854034423828
43,43, 750, 1041, 4901, 0.05733333333333333,0.10088157653808594,0.0016562938690185547
44,40, 750, 1041, 4901, 0.05333333333333334,0.10163521766662598,0.0016498565673828125
45,51, 750, 1086, 4901, 0.068,0.10032129287719727,0.0016505718231201172
46,45, 750, 1057, 4901, 0.06,0.10018682479858398,0.0016551017761230469
47,39, 750, 1039, 4901, 0.052,0.09992361068725586,0.0016484260559082031
48,39, 750, 1031, 4901, 0.052,0.09931778907775879,0.001645803451538086
49,44, 750, 1043, 4901, 0.058666666666666666,0.09943580627441406,0.0016603469848632812
50,46, 750, 1068, 4901, 0.06133333333333333,0.09968137741088867,0.0016624927520751953
51,45, 750, 1080, 4901, 0.06,0.10294198989868164,0.002453327178955078
52,44, 750, 1053, 4901, 0.058666666666666666,0.11409926414489746,0.0017786026000976562
53,43, 750, 1043, 4901, 0.05733333333333333,0.10215139389038086,0.0016927719116210938
54,44, 750, 1034, 4901, 0.058666666666666666,0.10196995735168457,0.0016484260559082031
