round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
1,48,762,1115,5102,0.06299212598425197,0.09536099433898926,0.0015826225280761719
2,51,762,1147,5102,0.06692913385826772,0.10083174705505371,0.0016620159149169922
3,52,762,1152,5102,0.06824146981627296,0.10047507286071777,0.0016579627990722656
4,54,762,1160,5102,0.07086614173228346,0.09977507591247559,0.0016701221466064453
5,47,762,1130,5102,0.06167979002624672,0.09947991371154785,0.0016486644744873047
6,50,762,1142,5102,0.06561679790026247,0.09991312026977539,0.001653432846069336
7,48,762,1128,5102,0.06299212598425197,0.10021471977233887,0.001657724380493164
8,53,762,1164,5102,0.06955380577427822,0.09978938102722168,0.0016524791717529297
9,53,762,1151,5102,0.06955380577427822,0.10110998153686523,0.0016562938690185547
10,51,762,1135,5102,0.06692913385826772,0.10008883476257324,0.0016431808471679688
11,50,762,1136,5102,0.06561679790026247,0.10039615631103516,0.0016756057739257812
12,51,762,1142,5102,0.06692913385826772,0.09956765174865723,0.0016727447509765625
13,46,762,1121,5102,0.06036745406824147,0.09964370727539062,0.0016596317291259766
14,51,762,1148,5102,0.06692913385826772,0.09965872764587402,0.001657724380493164
15,48,762,1128,5102,0.06299212598425197,0.09979724884033203,0.0016644001007080078
16,50,762,1133,5102,0.06561679790026247,0.10140204429626465,0.0016679763793945312
17,51,762,1156,5102,0.06692913385826772,0.1006307601928711,0.0016841888427734375
18,55,762,1180,5102,0.07217847769028872,0.09975314140319824,0.001668691635131836
19,51,762,1145,5102,0.06692913385826772,0.10121846199035645,0.0017049312591552734
20,54,762,1175,5102,0.07086614173228346,0.10420918464660645,0.0016756057739257812
21,47,762,1131,5102,0.06167979002624672,0.09975743293762207,0.0016679763793945312
22,52,762,1149,5102,0.06824146981627296,0.09962606430053711,0.0016722679138183594
23,44,762,1100,5102,0.05774278215223097,0.1003105640411377,0.0016753673553466797
24,47,762,1119,5102,0.06167979002624672,0.09925317764282227,0.0016510486602783203
25,50,762,1142,5102,0.06561679790026247,0.09892725944519043,0.001680135726928711
26,45,762,1113,5102,0.05905511811023622,0.10157108306884766,0.0016486644744873047
27,53,762,1171,5102,0.06955380577427822,0.10181260108947754,0.0016703605651855469
28,51,762,1154,5102,0.06692913385826772,0.09894990921020508,0.0016644001007080078
29,54,762,1153,5102,0.07086614173228346,0.09956097602844238,0.0016562938690185547
30,45,762,1124,5102,0.05905511811023622,0.09890079498291016,0.0016481876373291016
31,50,762,1151,5102,0.06561679790026247,0.09995365142822266,0.0016641616821289062
32,48,762,1135,5102,0.06299212598425197,0.10064435005187988,0.0016522407531738281
33,49,762,1142,5102,0.06430446194225722,0.0989847183227539,0.0016548633575439453
34,49,762,1141,5102,0.06430446194225722,0.09871625900268555,0.0016684532165527344
35,53,762,1160,5102,0.06955380577427822,0.10002017021179199,0.0016639232635498047
36,56,762,1153,5102,0.07349081364829396,0.09830355644226074,0.0016672611236572266
37,48,762,1152,5102,0.06299212598425197,0.09861636161804199,0.0016570091247558594
38,47,762,1116,5102,0.06167979002624672,0.09894180297851562,0.0016548633575439453
39,51,762,1148,5102,0.06692913385826772,0.10134506225585938,0.0016560554504394531
40,54,762,1167,5102,0.07086614173228346,0.09868502616882324,0.0016815662384033203
41,50,762,1126,5102,0.06561679790026247,0.10056543350219727,0.0016875267028808594
42,47,762,1132,5102,0.06167979002624672,0.09951043128967285,0.0016689300537109375
43,54,762,1164,5102,0.07086614173228346,0.09954190254211426,0.0016779899597167969
44,49,762,1137,5102,0.06430446194225722,0.09845948219299316,0.0016596317291259766
45,52,762,1155,5102,0.06824146981627296,0.10947489738464355,0.0016636848449707031
46,49,762,1131,5102,0.06430446194225722,0.10722017288208008,0.0017266273498535156
47,52,762,1161,5102,0.06824146981627296,0.10074353218078613,0.0016608238220214844
48,47,762,1122,5102,0.06167979002624672,0.09995651245117188,0.0016689300537109375
