,match,total,%,runtime
0,92,434,0.2947454624792501,0.7114033699035645
1,0,6,0.0,0.5901217460632324
2,0,15,0.0,0.5780951976776123
3,22,556,0.10858778625954199,0.7460098266601562
4,296,400,0.7837301587301587,0.6565508842468262
5,0,3,0.0,0.5785837173461914
6,19,29,0.8701298701298701,1.0230331420898438
7,4,32,0.1,0.8688333034515381
8,0,29,0.0,0.6388349533081055
9,0,7,0.0,0.6028904914855957
10,200,301,0.2,0.590897798538208
11,0,0,,0.9587051868438721
12,2,2,1.0,0.5745410919189453
13,0,7,0.0,0.5877213478088379
14,2,417,0.0056515957446808505,0.7732508182525635
