,match,total,%,runtime
0,883,1253,0.7132565629107724,236.16524362564087
1,27,104,0.47802197802197804,338.0869152545929
2,21,135,0.2625,301.4995560646057
3,27430,82314,0.6414786738512129,268.3836793899536
4,3574,3586,0.996935208389867,315.6847274303436
5,18,135,0.14285714285714282,191.73722386360168
6,152,370,0.567908496732026,319.00384163856506
7,865,1742,0.3418122178229213,342.168497800827
8,1330,1642,0.8467105263157896,217.47109174728394
9,7,7,1.0,270.6337606906891
10,1407,3243,0.2809976409918806,233.28987503051758
11,67,85,0.8,351.2956268787384
12,302,304,0.9838461538461539,200.99379014968872
13,7720,50482,0.676595,333.00526237487793
14,2290,78109,0.14933106672497137,342.0557746887207
