,match,total,%,runtime
0,666,979,0.713324430203933,91.83119797706604
1,0,77,0.0,74.83873915672302
2,0,82,0.0,71.76802325248718
3,1084,20030,0.29561598607435413,108.66346883773804
4,2809,2827,0.9954134683434046,84.57420516014099
5,8,68,0.1130952380952381,77.65738558769226
6,24,201,0.31168831168831174,120.16347908973694
7,545,1243,0.3546031746031746,126.63077545166016
8,2,235,0.00851063829787234,66.54951405525208
9,7,7,1.0,104.68298125267029
10,1078,2213,0.46474318358366296,93.9526698589325
11,13,13,1.0,130.7939989566803
12,189,190,0.9984591679506933,80.72216629981995
13,0,14681,0.0,91.10988354682922
14,263,45509,0.033686399176439646,126.41711139678955
